Nome,Matrícula,Ranking,Curso
Luis,106850,90,Medicina
Tiago,992932,68,Fisica
Pedro,448484,76,Matematica
Maria,245165,23,Letras
Tiago,929955,42,Odontologia
Jose,955378,45,Odontologia
Luisa,196078,44,Odontologia
Marcos,408602,73,Direito
Celia,784944,72,Engenharia
Lucas,650949,95,Quimica
Tiago,342975,95,Odontologia
Tiago,658489,55,Direito
Julia,507657,33,Letras
Rodrigo,572897,33,Computacao
Jose,309393,97,Medicina
Rodrigo,925848,26,Engenharia
Joao,669888,20,Engenharia
Rodrigo,269193,32,Letras
Marcia,489532,37,Administracao
Celia,536346,100,Medicina
Rodrigo,594989,13,Fisica
Amanda,773495,14,Letras
Julia,747093,36,Letras
Lucia,885865,14,Quimica
Joao,428427,14,Odontologia
Lucas,223589,14,Matematica
Tiago,138126,17,Letras
Jose,190247,61,Quimica
Pedro,707215,65,Medicina
Pedro,758911,79,Direito
Tiago,621824,14,Direito
Julia,653347,24,Direito
Celia,970513,70,Odontologia
Tiago,581663,29,Administracao
Lucia,440685,63,Computacao
Amanda,442661,74,Matematica
Lara,493775,65,Quimica
Amanda,311817,40,Quimica
Lucas,533863,46,Odontologia
Clara,191404,59,Quimica
Pedro,577421,73,Quimica
Rodrigo,188896,65,Letras
Julia,216454,29,Computacao
Amanda,471189,25,Letras
Luisa,957030,23,Quimica
Jose,424396,47,Odontologia
Celia,260239,23,Direito
Lara,650305,48,Odontologia
Tiago,837173,11,Odontologia
Celia,814422,92,Fisica
Clara,705482,70,Computacao
Amanda,242212,62,Direito
Maria,722300,31,Quimica
Marcia,793336,66,Administracao
Ana,464319,19,Medicina
Lucia,168663,26,Fisica
Joao,101512,76,Direito
Marcia,325532,98,Odontologia
Lucas,206707,83,Administracao
Flora,727431,70,Medicina
Joao,351681,70,Computacao
Julia,157115,47,Computacao
Marcia,801698,36,Letras
Flora,145466,99,Letras
Zeca,131553,88,Administracao
Tiago,771982,77,Fisica
Pedro,639076,71,Direito
Luis,540079,85,Engenharia
Pedro,679112,13,Fisica
Flora,896405,23,Direito
Flora,296323,52,Medicina
Lara,707265,91,Odontologia
Flora,943876,61,Medicina
Luis,557253,52,Medicina
Celia,526489,61,Quimica
Maria,518555,86,Letras
Lucas,382786,56,Administracao
Jose,850063,39,Direito
Celia,118982,11,Matematica
Jose,244283,17,Odontologia
Jose,214299,12,Computacao
Julia,709415,98,Administracao
Lara,617583,100,Engenharia
Rodrigo,775967,41,Administracao
Amanda,487362,50,Letras
Rodrigo,207870,96,Engenharia
Tiago,395990,36,Quimica
Flora,215111,28,Letras
Celia,298069,23,Administracao
Amanda,589232,86,Direito
Tiago,722087,50,Matematica
Amanda,867980,91,Fisica
Ana,689127,47,Computacao
Ana,743512,16,Medicina
Lucia,253556,19,Engenharia
Lucia,831644,16,Direito
Julia,590318,12,Engenharia
Lucia,798749,71,Fisica
Rodrigo,615470,92,Odontologia
Marcos,326260,48,Computacao
Jose,546923,76,Fisica
Luisa,689882,13,Administracao
Luis,870562,32,Administracao
Amanda,214492,58,Computacao
Marcos,687606,75,Direito
Luis,816398,87,Administracao
Maria,844445,21,Engenharia
Amanda,249441,96,Quimica
Marcos,358509,33,Engenharia
Lucas,546087,69,Matematica
Luisa,228456,67,Fisica
Marcia,688590,29,Administracao
Marcos,171655,87,Administracao
Ana,548005,98,Direito
Rodrigo,315249,95,Engenharia
Pedro,300574,88,Direito
Julia,839092,39,Letras
Lucas,803442,51,Letras
Marcia,544227,38,Engenharia
Lucas,123634,99,Administracao
Joao,567121,44,Odontologia
Clara,730771,46,Letras
Luisa,195031,47,Odontologia
Lucas,637386,30,Letras
Joao,782276,59,Matematica
Zeca,274408,73,Letras
Tiago,818006,27,Engenharia
Clara,837363,74,Medicina
Zeca,201432,49,Matematica
Marcia,292581,91,Quimica
Amanda,881058,72,Engenharia
Julia,283759,40,Matematica
Lucas,624808,36,Computacao
Zeca,732652,35,Administracao
Lucas,416823,21,Engenharia
Jose,832310,72,Medicina
Ana,472091,35,Odontologia
Maria,315944,31,Direito
Lara,752014,49,Odontologia
Marcia,170989,66,Fisica
Marcos,207671,39,Computacao
Maria,464228,86,Quimica
Flora,491296,66,Direito
Luisa,739783,23,Computacao
Lara,371011,68,Odontologia
Flora,223348,98,Medicina
Luis,167148,67,Medicina
Luisa,313520,86,Direito
Clara,332500,68,Direito
Tiago,848521,65,Quimica
Maria,389259,95,Odontologia
Clara,955153,24,Computacao
Luis,419840,63,Matematica
Luis,460491,20,Letras
Lucas,153397,74,Quimica
Luis,260532,47,Odontologia
Clara,387067,63,Matematica
Luis,953286,74,Computacao
Lucas,787427,85,Quimica
Marcos,452174,68,Direito
Clara,417966,44,Medicina
Flora,740157,85,Odontologia
Luis,860085,55,Administracao
Maria,544038,100,Computacao
Jose,368694,25,Direito
Flora,751734,65,Matematica
Lara,362296,65,Computacao
Amanda,331406,72,Administracao
Rodrigo,553003,50,Fisica
Jose,458999,19,Quimica
Tiago,209520,19,Administracao
Julia,456952,76,Direito
Lara,774367,81,Direito
Luisa,197816,44,Fisica
Ana,536027,32,Letras
Luisa,889178,10,Letras
Marcia,953754,59,Medicina
Marcia,723037,54,Matematica
Maria,979593,75,Letras
Luis,140283,83,Computacao
Marcia,844845,85,Medicina
Ana,213330,68,Medicina
Tiago,375943,71,Odontologia
Clara,584037,87,Computacao
Marcos,866003,80,Computacao
Julia,170522,84,Administracao
Julia,582141,33,Letras
Lucia,963949,97,Fisica
Zeca,637318,18,Matematica
Luisa,580705,84,Quimica
Joao,220511,12,Engenharia
Zeca,713061,55,Administracao
Zeca,789693,96,Odontologia
Zeca,445652,43,Medicina
Lucas,992957,25,Administracao
Lara,888374,98,Fisica
Clara,838462,92,Quimica
Flora,952753,94,Fisica
Jose,255628,96,Engenharia
Lara,476960,12,Medicina
Luis,740741,90,Medicina
Celia,248210,15,Direito
Tiago,706952,68,Computacao
Lucia,214261,52,Computacao
Pedro,973530,59,Letras
Ana,708317,43,Medicina
Lucia,924628,22,Fisica
Celia,252788,43,Odontologia
Marcos,186017,77,Administracao
Marcos,932768,17,Computacao
Lucia,548174,14,Computacao
Ana,759818,55,Odontologia
Marcos,434661,12,Quimica
Zeca,963016,57,Matematica
Marcos,220185,72,Matematica
Marcos,279635,80,Fisica
Zeca,406831,81,Direito
Rodrigo,519782,40,Engenharia
Amanda,103159,66,Administracao
Flora,764593,80,Medicina
Luis,341883,82,Fisica
Luisa,186959,86,Computacao
Tiago,295779,13,Engenharia
Rodrigo,150922,55,Direito
Pedro,452198,58,Letras
Tiago,686761,22,Fisica
Maria,649108,49,Matematica
Pedro,517212,12,Letras
Tiago,330486,17,Medicina
Luis,625573,37,Medicina
Rodrigo,919984,70,Direito
Tiago,801548,42,Fisica
Lucas,795432,97,Direito
Lucas,751502,50,Engenharia
Ana,343636,91,Direito
Clara,419542,27,Direito
Ana,978323,97,Medicina
Luisa,271661,28,Odontologia
Ana,665990,67,Odontologia
Lucia,318429,44,Medicina
Zeca,508097,47,Letras
Luis,929722,61,Matematica
Joao,361253,50,Matematica
Rodrigo,957638,80,Direito
Maria,272214,49,Medicina
Marcia,795686,60,Matematica
Tiago,667712,32,Quimica
Lara,432002,23,Computacao
Amanda,303507,16,Medicina
Rodrigo,557982,87,Computacao
Julia,730785,83,Quimica
Zeca,456871,17,Fisica
Zeca,862684,64,Odontologia
Celia,909423,57,Odontologia
Rodrigo,921889,67,Medicina
Clara,727840,15,Fisica
Rodrigo,639985,51,Quimica
Luisa,673736,51,Odontologia
Ana,879674,30,Computacao
Pedro,976287,85,Letras
Lucia,386112,63,Medicina
Julia,695635,86,Administracao
Celia,171038,89,Quimica
Pedro,151440,61,Engenharia
Luisa,248900,82,Fisica
Luis,171537,88,Direito
Marcos,522764,31,Administracao
Maria,685677,51,Matematica
Marcia,665644,88,Engenharia
Clara,967053,78,Computacao
Flora,693138,60,Engenharia
Pedro,890172,72,Letras
Marcos,544399,52,Fisica
Joao,643319,77,Medicina
Rodrigo,212054,75,Fisica
Luis,215465,21,Administracao
Julia,992614,74,Computacao
Joao,590094,68,Direito
Zeca,169342,41,Matematica
Pedro,386647,36,Letras
Pedro,341610,61,Administracao
Lara,889431,33,Computacao
Lara,152694,85,Administracao
Zeca,510062,39,Matematica
Flora,401803,64,Fisica
Jose,792599,79,Fisica
Ana,824784,99,Matematica
Rodrigo,250914,28,Medicina
Clara,352396,20,Engenharia
Jose,271776,92,Letras
Lucia,744671,12,Fisica
Joao,531147,11,Administracao
Jose,992748,78,Medicina
Pedro,471474,76,Fisica
Joao,732522,48,Fisica
Marcia,926899,92,Odontologia
Clara,730914,57,Medicina
Flora,192417,50,Administracao
Amanda,172432,78,Fisica
Lara,684524,85,Quimica
Julia,893569,78,Quimica
Jose,147777,40,Matematica
Jose,581796,32,Administracao
Celia,388519,30,Quimica
Jose,642446,12,Odontologia
Luisa,260771,69,Computacao
Joao,809836,44,Matematica
Lucas,466889,75,Engenharia
Lucia,557360,20,Quimica
Luis,913149,78,Computacao
Julia,725038,18,Administracao
Marcia,291154,41,Quimica
Amanda,628065,92,Direito
Amanda,567647,42,Quimica
Flora,965249,50,Direito
Flora,254900,41,Engenharia
Tiago,901968,64,Matematica
Maria,686210,55,Direito
Luis,771604,82,Direito
Lucas,146281,77,Letras
Ana,104106,57,Quimica
Jose,407223,63,Matematica
Marcia,115142,95,Quimica
Luis,749676,11,Engenharia
Ana,971018,76,Matematica
Flora,661855,57,Odontologia
Amanda,254404,77,Fisica
Amanda,390972,29,Computacao
Lara,828631,74,Medicina
Jose,902883,73,Administracao
Ana,815437,39,Administracao
Lara,921352,20,Medicina
Flora,280197,87,Computacao
Julia,570221,16,Odontologia
Celia,902671,73,Administracao
Lucas,588315,44,Odontologia
Marcos,138242,87,Quimica
Julia,547005,10,Computacao
Jose,319404,99,Quimica
Zeca,303947,21,Medicina
Lucas,775811,61,Engenharia
Julia,836245,39,Computacao
Luis,804877,11,Computacao
Marcia,163282,26,Fisica
Clara,339104,68,Administracao
Ana,317935,78,Matematica
Lucia,194161,27,Direito
Amanda,887585,65,Administracao
Celia,389057,24,Matematica
Flora,891270,85,Direito
Maria,441718,80,Medicina
Lara,375091,61,Direito
Celia,217863,56,Computacao
Zeca,902029,48,Matematica
Maria,272603,16,Fisica
Lara,943207,40,Administracao
Maria,726755,22,Odontologia
Julia,690218,12,Medicina
Julia,291373,16,Administracao
Julia,200868,53,Engenharia
Celia,687502,70,Medicina
Celia,248117,71,Direito
Lucas,419517,88,Letras
Zeca,776784,82,Computacao
Amanda,714101,67,Administracao
Marcos,306809,70,Letras
Marcia,527417,65,Computacao
Luis,500231,19,Direito
Flora,723728,21,Matematica
Ana,645887,64,Administracao
Julia,179964,91,Administracao
Tiago,976284,13,Direito
Lucia,946832,13,Fisica
Marcos,870344,46,Computacao
Julia,895665,92,Fisica
Marcia,324100,46,Medicina
Maria,196647,47,Odontologia
Celia,259052,81,Fisica
Lara,519530,60,Quimica
Luisa,529216,34,Engenharia
Lara,535169,81,Computacao
Pedro,417682,69,Computacao
Tiago,487265,38,Letras
Ana,577057,25,Quimica
Celia,323508,71,Letras
Marcos,823284,71,Administracao
Ana,502893,77,Quimica
Rodrigo,540245,66,Matematica
Maria,549411,81,Letras
Ana,797744,17,Medicina
Julia,472996,52,Medicina
Lara,303170,10,Odontologia
Lucia,111448,64,Letras
Marcos,414164,100,Medicina
Rodrigo,711560,33,Fisica
Jose,963640,32,Quimica
Tiago,733496,43,Fisica
Jose,957922,15,Administracao
Tiago,341548,99,Direito
Pedro,192789,19,Computacao
Luisa,131100,39,Odontologia
Maria,551453,90,Medicina
Celia,283750,29,Direito
Tiago,734444,64,Letras
Zeca,876567,63,Medicina
Marcos,644640,49,Odontologia
Jose,791019,76,Engenharia
Lucia,961960,48,Quimica
Marcia,468507,87,Odontologia
Marcos,847040,89,Engenharia
Maria,115460,50,Matematica
Pedro,843489,92,Fisica
Lucas,207228,65,Fisica
Joao,977438,37,Matematica
Maria,701335,95,Fisica
Maria,631777,52,Letras
Zeca,834225,23,Medicina
Tiago,719357,56,Fisica
Rodrigo,985438,66,Letras
Tiago,979832,27,Computacao
Tiago,701305,61,Medicina
Marcia,682824,96,Letras
Julia,139336,67,Letras
Flora,855337,27,Medicina
Ana,758368,30,Odontologia
Clara,226103,25,Computacao
Tiago,970170,85,Letras
Zeca,649770,31,Administracao
Lara,498592,35,Direito
Luis,921374,34,Engenharia
Lara,200409,61,Computacao
Marcos,319707,55,Quimica
Luis,683946,80,Fisica
Lara,971394,68,Medicina
Flora,367579,56,Fisica
Luis,591412,43,Letras
Lucas,620860,25,Odontologia
Tiago,577767,83,Matematica
Jose,457077,74,Quimica
Ana,933135,73,Direito
